Bb((1, 0)): -0.0
b((1, 1)): 0.0
b((1, 2)): 0.0
b((1, 3)): 0.0
b((1, 4)): -0.0
b((1, 5)): 1.0
b((1, 6)): -0.0
b((1, 7)): 0.0
b((1, 8)): 0.0
b((1, 9)): -0.0
b((1, 10)): -0.0
b((1, 11)): -0.0
b((1, 12)): -0.0
b((1, 13)): -0.0
b((1, 14)): -0.0
b((2, 0)): 0.0
b((2, 1)): 0.0
b((2, 2)): 0.0
b((2, 3)): 0.0
b((2, 4)): 0.0
b((2, 5)): 0.0
b((2, 6)): 0.0
b((2, 7)): 1.0
b((2, 8)): 0.0
b((2, 9)): 0.0
b((2, 10)): 0.0
b((2, 11)): 0.0
b((2, 12)): 0.0
b((2, 13)): 0.0
b((2, 14)): 0.0
b((3, 0)): 0.0
b((3, 1)): 0.0
b((3, 2)): -0.0
b((3, 3)): -0.0
b((3, 4)): -0.0
b((3, 5)): 1.0
b((3, 6)): -0.0
b((3, 7)): -0.0
b((3, 8)): 0.0
b((3, 9)): 0.0
b((3, 10)): 0.0
b((3, 11)): 0.0
b((3, 12)): 0.0
b((3, 13)): -0.0
b((3, 14)): -0.0

Ww((1, 0)): -0.0
w((1, 1)): -0.0
w((2, 0)): 0.0
w((2, 1)): 0.0
w((3, 0)): 0.0
w((3, 1)): 0.0
w((4, 0)): 0.0
w((4, 1)): 1.0
w((5, 0)): 0.0
w((5, 1)): 1.0
w((6, 0)): 0.0
w((6, 1)): 1.0
w((7, 0)): 1.0
w((7, 1)): 0.0

